NB ;Member State ;start date;start time;end date;end time;days;scope;reason;reasons_original;scope_original
96;Germany;12.05.18;0:00;11.11.18;23:59;183;some borders;migration;security situation in Europe and threats resulting from the continuous significant secondary movements;land border with Austria
97;Denmark;12.05.18;0:00;11.11.18;23:59;183;all borders;migration;security situation in Europe and threats resulting from the continuous significant secondary movements;all internal borders with an initial focus on the land border with Germany and ports with connection to Germany
98;Sweden;12.05.18;0:00;11.11.18;23:59;183;all borders;migration;continuous serious threat to public policy and internal security;all internal borders
99;Norway;12.05.18;0:00;11.11.18;23:59;183;all borders;migration;security situation in Europe and threats resulting from the continuous significant secondary movements;all internal borders with an initial focus on ferry connections with Denmark, Germany and Sweden
100;Austria;09.07.18;0:00;13.07.18;23:59;4;some borders;political conference;informal meeting of Justice and Home Affairs Ministers in Innsbruck;border Tyrol to Germany, border North Tyrol to Italy, Innsbruck Airport (all arriving flights).
101;Austria;17.09.18;0:00;21.09.18;23:59;4;some borders;political conference;informal meeting of the European Council in Salzburg;border Salzburg and Upper Austria to Germany, border East Tyrol and Carinthia to Italy, Salzburg Airport (all arriving flights)
102;France;01.11.18;0:00;30.04.19;23:59;180;;terrorism;Terrorist threats, situation at the external borders, upcoming high level political meetings;
103;Germany;12.11.18;0:00;11.05.19;23:59;180;some borders;migration;threats resulting from the continuous significant secondary movements;land border with Austria
104;Denmark;12.11.18;0:00;11.05.19;23:59;180;all borders;migration;persistent and severe threat to public order and internal security;all internal borders with an initial focus on the land border with Germany and ports with connection to Germany
105;Sweden;12.11.18;0:00;11.02.19;23:59;91;all borders;migration;serious threat to public policy and internal security;all internal borders
106;Norway;12.11.18;0:00;11.05.19;23:59;180;all borders;migration;security situation in Europe and threats resulting from the continuous significant secondary movements;all internal borders with an initial focus on ferry connections with Denmark, Germany and Sweden
107;Austria;12.11.18;0:00;11.05.19;23:59;180;some borders;migration;security situation in Europe and threats resulting from the continuous significant secondary movements;land borders with Hungary and with Slovenia
108;Poland;22.11.18;0:00;16.12.18;23:59;24;all borders;political conference;climate conference COPT 24;all internal borders
109;Sweden;12.02.19;0:00;11.05.19;23:59;88;all borders;migration;serious threat to public policy and internal security;all internal borders
110;Poland;10.02.19;0:00;16.02.19;23:59;6;all borders;political conference;Ministerial to Promote a Future of Peace and Security in the Middle East;all internal borders
111;France;01.05.19;0:00;31.10.19;23:59;183;;terrorism;Terrorist threats, situation at the external borders;
112;Germany;12.05.19;0:00;12.11.19;23:59;184;some borders;migration;migration and security policy;land border with Austria
113;Austria;12.05.19;0:00;12.11.19;23:59;184;some borders;migration;security situation in Europe and continuous significant secondary movements;land borders with Hungary and with Slovenia
114;Denmark;12.05.19;0:00;12.11.19;23:59;184;some borders;migration;severe threat to public order and internal security;internal border with Germany (land and ports with ferry connections)
115;Sweden;12.05.19;0:00;12.11.19;23:59;184;;migration;"serious threat to public policy and internal security; to be determined but may concern all internal borders;";
116;Norway;12.05.19;0:00;12.11.19;23:59;184;all borders;migration;security situation in Europe;all internal borders with an initial focus on ferry connections with Denmark, Germany and Sweden
117;France;31.10.19;0:00;30.04.20;23:59;182;all borders;terrorism;"persistent terrorist threat, upcoming high profile political
event in Paris, secondary movements";all internal borders
118;Germany;12.11.19;0:00;12.05.20;23:59;182;some borders;migration;secondary movements, situation at the external borders;land border with Austria
119;Austria;12.11.19;0:00;12.05.20;23:59;182;some borders;migration;"secondary movements, risk related to terrorists and organized
crime, situation at the external borders";land borders with Hungary and with Slovenia
120;Denmark;12.11.19;0:00;12.05.20;23:59;182;some borders;migration;terrorist threats,  organized criminality from Sweden;"land border with Germany and with Sweden, ferry
connections to Germany and to Sweden, until 12 May 2020"
121;Norway;12.11.19;0:00;12.05.20;23:59;182;some borders;migration;"terrorist threats, secondary movements
";"ports with ferry connections with Denmark, Germany and
Sweden"
121;Sweden;12.11.19;0:00;12.05.20;23:59;182;all borders;migration;terrorist threats, shortcomings at the external borders;to be determined but may concern all internal borders
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
